DEBUG 2018-07-25 12:22:27,605 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,605 - push QHBoxLayout horizontalLayout_6
DEBUG 2018-07-25 12:22:27,605 - setting property text
DEBUG 2018-07-25 12:22:27,605 - push QCheckBox FGC31
DEBUG 2018-07-25 12:22:27,605 - pop widget QCheckBox FGC31
DEBUG 2018-07-25 12:22:27,605 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,606 - setting property text
DEBUG 2018-07-25 12:22:27,606 - push QCheckBox FGC32
DEBUG 2018-07-25 12:22:27,606 - pop widget QCheckBox FGC32
DEBUG 2018-07-25 12:22:27,606 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,606 - setting property text
DEBUG 2018-07-25 12:22:27,606 - push QCheckBox FGC33
DEBUG 2018-07-25 12:22:27,606 - pop widget QCheckBox FGC33
DEBUG 2018-07-25 12:22:27,606 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,606 - setting property text
DEBUG 2018-07-25 12:22:27,606 - push QCheckBox FGC34
DEBUG 2018-07-25 12:22:27,607 - pop widget QCheckBox FGC34
DEBUG 2018-07-25 12:22:27,607 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,607 - setting property text
DEBUG 2018-07-25 12:22:27,607 - push QCheckBox FGC35
DEBUG 2018-07-25 12:22:27,607 - pop widget QCheckBox FGC35
DEBUG 2018-07-25 12:22:27,607 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,607 - setting property text
DEBUG 2018-07-25 12:22:27,607 - push QCheckBox FGC36
DEBUG 2018-07-25 12:22:27,607 - pop widget QCheckBox FGC36
DEBUG 2018-07-25 12:22:27,607 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,607 - pop layout QHBoxLayout horizontalLayout_6
DEBUG 2018-07-25 12:22:27,608 - setting property orientation
DEBUG 2018-07-25 12:22:27,608 - push QFrame line_4
DEBUG 2018-07-25 12:22:27,608 - pop widget QFrame line_4
DEBUG 2018-07-25 12:22:27,608 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,608 - push QHBoxLayout horizontalLayout_7
DEBUG 2018-07-25 12:22:27,608 - setting property text
DEBUG 2018-07-25 12:22:27,608 - push QCheckBox FGC37
DEBUG 2018-07-25 12:22:27,608 - pop widget QCheckBox FGC37
DEBUG 2018-07-25 12:22:27,608 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,609 - setting property text
DEBUG 2018-07-25 12:22:27,609 - push QCheckBox FGC38
